"","ValueID","IndicatorID","InsertDate","Numerator","Denominator","IndicatorValue","IndicatorValueType","LowerCI95","UpperCI95","AggregationType","AggregationLabel","FiscalYear","Gender","AgeGroup","IMD","EthnicityCode","NHSCodeDefinition","StatusID","DataQualityID","IndicatorStartDate","IndicatorEndDate"
"25",25,49,2024-05-29,0,99,0,"Ethnicity Crude Rate",0,3726.14086274135,"ICB","BSOL ICB","2023/2024","Persons","65+",NA,NA,NA,1,1,2023-04-01,2024-03-31
"26",26,49,2024-05-29,60,1690,3550.29585798817,"IMD Crude Rate",2709.09819618405,4570.01325132303,"ICB","BSOL ICB","2019/2020","Persons","65+","Q1",NA,NA,1,1,2019-04-01,2020-03-31
"27",27,49,2024-05-29,41,1690,2426.03550295858,"IMD Crude Rate",1740.77345018411,3291.27667136677,"ICB","BSOL ICB","2020/2021","Persons","65+","Q1",NA,NA,1,1,2020-04-01,2021-03-31
"28",28,49,2024-05-29,60,1690,3550.29585798817,"IMD Crude Rate",2709.09819618405,4570.01325132303,"ICB","BSOL ICB","2021/2022","Persons","65+","Q1",NA,NA,1,1,2021-04-01,2022-03-31
"29",29,49,2024-05-29,70,1690,4142.01183431953,"IMD Crude Rate",3228.76336787308,5233.25829163791,"ICB","BSOL ICB","2022/2023","Persons","65+","Q1",NA,NA,1,1,2022-04-01,2023-03-31
"30",30,49,2024-05-29,74,1690,4378.69822485207,"IMD Crude Rate",3438.08637895813,5497.12897207567,"ICB","BSOL ICB","2023/2024","Persons","65+","Q1",NA,NA,1,1,2023-04-01,2024-03-31
"31",31,49,2024-05-29,11,197,5583.75634517767,"IMD Crude Rate",2783.5990855076,9991.49092190172,"ICB","BSOL ICB","2019/2020","Persons","65+","Q2",NA,NA,1,1,2019-04-01,2020-03-31
"32",32,49,2024-05-29,9,197,4568.52791878173,"IMD Crude Rate",2089.02187684179,8672.4890616341,"ICB","BSOL ICB","2020/2021","Persons","65+","Q2",NA,NA,1,1,2020-04-01,2021-03-31
"33",33,49,2024-05-29,4,197,2030.45685279188,"IMD Crude Rate",553.231154125038,5198.77597736228,"ICB","BSOL ICB","2021/2022","Persons","65+","Q2",NA,NA,1,1,2021-04-01,2022-03-31
"34",34,49,2024-05-29,4,197,2030.45685279188,"IMD Crude Rate",553.231154125038,5198.77597736228,"ICB","BSOL ICB","2022/2023","Persons","65+","Q2",NA,NA,1,1,2022-04-01,2023-03-31
